Study_Hours,Attendance,Previous_Score,Assignments_Score,Gender,Parent_Education,Final_Marks
5.49,89.1,86.0,80.9,Female,PhD,93.6
4.22,100.0,78.9,62.3,Male,High School,76.1
5.8,61.2,65.9,58.5,Female,Masters,56.5
7.55,84.8,55.3,70.0,Male,Masters,82.7
4.03,70.2,75.5,67.6,Male,PhD,66.7
4.03,72.2,70.9,63.7,Female,PhD,61.5
7.66,70.9,78.4,79.7,Male,Bachelors,81.0
6.03,67.6,74.5,83.4,Female,PhD,77.9
3.56,78.6,80.7,71.2,Female,Masters,70.4
5.59,68.0,57.0,90.7,Male,High School,61.2
3.57,81.2,84.8,54.0,Male,Bachelors,77.1
3.57,77.4,68.0,67.3,Female,Masters,76.5
4.98,75.1,96.1,60.0,Female,High School,82.7
0.67,67.1,54.7,43.9,Male,Bachelors,41.2
1.05,71.1,91.0,68.8,Male,Bachelors,66.2
3.38,87.1,68.0,68.3,Male,High School,71.3
2.47,84.0,55.2,91.2,Male,Bachelors,73.4
5.13,66.3,57.7,78.8,Female,Masters,74.0
2.68,79.2,60.2,55.7,Female,Bachelors,57.3
1.68,87.0,71.4,96.0,Female,High School,74.9
7.43,58.0,72.8,87.1,Female,High School,83.4
4.05,84.5,56.4,78.1,Male,Bachelors,80.2
4.64,70.0,64.6,66.8,Male,PhD,72.9
1.65,84.8,97.1,56.6,Female,High School,76.4
3.41,68.8,90.9,64.8,Female,Bachelors,72.8
4.72,56.3,71.5,85.2,Female,High School,80.2
2.2,58.5,65.6,96.4,Female,High School,68.8
5.25,78.6,66.8,91.6,Female,Masters,74.5
3.3,81.1,74.2,63.2,Female,Masters,78.4
3.92,67.1,49.7,54.3,Female,High School,62.4
3.3,85.7,61.1,72.0,Female,Bachelors,66.9
8.2,,,,Female,High School,59.7
4.47,77.2,71.0,74.5,Male,Bachelors,75.8
2.38,63.5,74.7,67.9,Female,Bachelors,66.6
6.15,70.2,57.8,63.5,Male,High School,71.2
2.06,78.6,88.6,47.7,Male,High School,68.1
4.92,67.7,46.6,77.2,Female,Bachelors,76.2
0.58,73.4,43.0,62.5,Female,Masters,57.1
1.84,90.1,68.4,53.6,Male,PhD,65.4
4.89,71.1,80.7,29.8,Male,High School,70.9
5.98,88.0,90.3,69.6,Female,Masters,79.7
4.84,64.4,58.1,94.8,Male,Bachelors,75.1
4.27,84.4,81.2,93.3,Female,Bachelors,94.1
3.9,95.3,64.4,63.6,Female,Masters,71.5
1.54,48.3,62.4,61.6,Female,Masters,46.9
3.06,68.4,78.3,76.6,Male,PhD,66.4
3.58,84.9,74.8,56.0,Male,Bachelors,63.7
