Study_Hours,Attendance,Previous_Score,Assignments_Score,Gender,Parent_Education,Final_Marks
5.49,89.1,86.0,80.9,1,3,93.6
4.22,100.0,78.9,62.3,0,0,76.1
5.8,61.2,65.9,58.5,1,2,56.5
7.55,84.8,55.3,70.0,0,2,82.7
4.03,70.2,75.5,67.6,0,3,66.7
4.03,72.2,70.9,63.7,1,3,61.5
7.66,70.9,78.4,79.7,0,1,81.0
6.03,67.6,74.5,83.4,1,3,77.9
3.56,78.6,80.7,71.2,1,2,70.4
5.59,68.0,57.0,90.7,0,0,61.2
3.57,81.2,84.8,54.0,0,1,77.1
3.57,77.4,68.0,67.3,1,2,76.5
4.98,75.1,96.1,60.0,1,0,82.7
0.67,67.1,54.7,43.9,0,1,41.2
1.05,71.1,91.0,68.8,0,1,66.2
3.38,87.1,68.0,68.3,0,0,71.3
2.47,84.0,55.2,91.2,0,1,73.4
5.13,66.3,57.7,78.8,1,2,74.0
2.68,79.2,60.2,55.7,1,1,57.3
1.68,87.0,71.4,96.0,1,0,74.9
7.43,58.0,72.8,87.1,1,0,83.4
4.05,84.5,56.4,78.1,0,1,80.2
4.64,70.0,64.6,66.8,0,3,72.9
1.65,84.8,97.1,56.6,1,0,76.4
3.41,68.8,90.9,64.8,1,1,72.8
4.72,56.3,71.5,85.2,1,0,80.2
2.2,58.5,65.6,96.4,1,0,68.8
5.25,78.6,66.8,91.6,1,2,74.5
3.3,81.1,74.2,63.2,1,2,78.4
3.92,67.1,49.7,54.3,1,0,62.4
3.3,85.7,61.1,72.0,1,1,66.9
8.2,78.6,66.8,69.9,1,0,59.7
4.47,77.2,71.0,74.5,0,1,75.8
2.38,63.5,74.7,67.9,1,1,66.6
6.15,70.2,57.8,63.5,0,0,71.2
2.06,78.6,88.6,47.7,0,0,68.1
4.92,67.7,46.6,77.2,1,1,76.2
0.58,73.4,43.0,62.5,1,2,57.1
1.84,90.1,68.4,53.6,0,3,65.4
4.89,71.1,80.7,29.8,0,0,70.9
5.98,88.0,90.3,69.6,1,2,79.7
4.84,64.4,58.1,94.8,0,1,75.1
4.27,84.4,81.2,93.3,1,1,94.1
3.9,95.3,64.4,63.6,1,2,71.5
1.54,48.3,62.4,61.6,1,2,46.9
3.06,68.4,78.3,76.6,0,3,66.4
3.58,84.9,74.8,56.0,0,1,63.7
6.61,78.6,66.8,69.9,1,1,65.9
5.19,82.5,87.1,80.7,0,2,81.7
0.97,70.8,85.7,87.2,0,0,61.6
5.15,79.0,55.6,68.6,0,1,70.5
3.73,76.1,70.9,67.1,0,1,75.2
3.15,92.0,72.4,57.7,0,1,65.3
5.72,81.1,68.9,58.4,0,0,83.1
6.56,82.1,56.7,66.8,0,0,78.1
6.36,73.1,54.9,75.1,1,2,79.7
2.82,72.1,64.6,82.8,0,0,64.2
3.88,72.8,82.6,58.8,0,1,75.8
5.16,82.7,73.2,90.9,0,0,75.7
6.45,72.9,59.4,66.2,0,0,78.2
3.54,81.5,76.6,69.7,0,0,74.2
4.13,100.0,22.3,59.5,0,0,64.4
2.29,88.5,82.2,36.1,0,2,57.8
2.11,74.1,38.9,82.4,0,0,53.5
6.13,92.4,59.6,80.3,1,3,84.6
7.21,73.1,48.2,66.1,0,1,66.0
4.36,78.6,45.6,70.9,0,1,61.4
6.51,78.6,66.8,69.9,0,1,72.5
5.22,55.6,58.0,48.1,0,1,64.7
3.21,73.8,70.2,62.6,1,2,59.0
5.22,78.2,64.3,81.1,1,0,79.4
7.58,98.1,72.2,52.4,1,1,87.2
4.43,81.9,66.2,74.1,1,2,69.5
7.63,75.4,45.8,51.0,1,3,72.4
0.0,88.0,79.9,76.5,1,2,69.3
6.14,51.5,57.6,69.5,1,1,63.0
4.67,80.8,41.7,47.4,1,2,54.0
3.9,87.3,58.6,86.3,1,1,62.7
4.68,60.3,87.5,59.7,1,1,73.3
0.52,91.7,77.8,58.7,1,0,55.8
4.06,82.1,59.8,72.8,1,1,71.1
5.21,73.0,59.8,86.1,1,0,72.9
7.46,85.6,60.2,55.8,1,0,80.9
3.46,100.0,96.2,70.9,1,2,82.4
2.88,80.2,70.7,76.0,1,0,68.8
3.5,81.0,71.5,79.7,0,0,78.2
6.33,72.5,80.5,72.5,1,0,82.3
5.16,67.8,68.6,64.9,0,3,72.1
3.44,88.0,61.1,58.4,1,1,70.0
5.53,67.7,62.1,71.2,1,1,61.6
4.69,78.6,66.8,69.9,0,2,72.7
6.44,72.3,64.4,29.1,1,2,68.5
3.1,83.7,75.9,76.1,0,0,67.8
3.84,82.0,65.8,82.7,0,1,72.7
3.72,90.5,76.0,36.9,0,2,67.5
1.57,71.9,63.8,55.9,1,1,56.8
5.09,74.8,66.2,78.7,1,0,76.7
5.02,66.3,35.0,98.8,1,2,76.4
4.51,72.7,78.7,70.3,0,1,80.7
4.03,82.5,70.2,59.8,0,0,62.5
1.67,87.1,80.0,67.4,1,1,73.6
3.66,66.9,21.6,89.2,1,0,65.7
3.81,88.4,96.3,61.0,1,0,81.9
2.9,94.3,62.9,58.8,1,2,74.6
4.18,83.0,81.6,63.2,1,0,87.3
5.31,100.0,49.4,56.7,0,1,78.0
8.27,68.7,74.2,71.7,0,1,84.1
4.85,63.1,49.2,92.7,0,0,75.5
5.02,56.7,55.6,74.5,1,3,66.1
4.35,96.0,93.7,66.5,0,0,83.9
0.66,85.9,62.1,65.9,0,0,58.9
4.45,77.3,68.3,48.1,0,0,76.0
4.62,81.4,78.1,82.4,0,0,74.8
